text,label
What teams do the players from TPS (Finland) play for?,0
What is the NHL team of the player who played for the TPS (Finland) College/junior/club team?,1
What high school team did Doug Nolan play for?,0
What is the college/junior/club team of the player named Doug Nolan?,1
What club team is Per Gustafsson play for?,0
What is the College/junior/club team of the player named Per Gustafsson?,1
What is the nationality of Shayne Wright?,0
What is the nationality of the player named Shayne Wright?,1
How many votes did Southern England cast whilst Northern Ireland cast 3?,0
Select the value from the Southern England column where the Northern Ireland column equals 3.,1
What was the lowest number of votes Scotland cast?,0
What is the minimum value in the Scotland column of the table?,1
What is the total number of votes if Scotland cast 35?,0
"How many times does ""Scotland"" appear in the ""table"" where ""Total"" equals 35?",1
How many votes did Northern Ireland cast if the total was 35?,0
What is the value in the Northern Ireland column where the Total is 35?,1
How many votes did Wales cast when Northern England cast 6?,0
What is the minimum value of Wales from the table where Northern England equals 6?,1
What teams had 9 in the top 5 and 1 wins?,0
Retrieve the teams from the table where the Top 5 value is 9 and the Wins value is 1.,1
What teams did the player vadim sharifijanov play for?,0
What is the college/junior/club team of the player named Vadim Sharifijanov?,1
What positions do the hartford whalers nhl team have?,0
What is the position of the Hartford Whalers in the NHL?,1
"What is the smallest pick for the player, brett lindros?",0
What is the minimum pick number for the player named Brett Lindros?,1
"What positions does the college/junior/club team, molot perm (russia) have?",0
What is the position of the player from Molot Perm (Russia)?,1
The nhl team new york islanders is what nationality?,0
What is the nationality of the player(s) from the New York Islanders team?,1
What is the name of the vacator for district Louisiana 1st?,0
What is the vacator associated with the Louisiana 1st district?,1
What is the notion when the crystal structure is tetragonal and the formula is bi 2 sr 2 cacu 2 o 8,0
What is the notation for the crystal structure of Tetragonal with the formula Bi2Sr2CaCu2O8?,1
How many times is the formula tl 2 ba 2 cuo 6?,0
What is the number of Cu-O planes in the unit cell for the formula Tl2Ba2CuO6?,1
What is the crystal structure for the formula yba 2 cu 3 o 7?,0
What is the crystal structure of the compound with the formula YBa2Cu3O7?,1
What is the number for t c (k) when the notation is tl-2212?,0
Count the number of rows in the table where the Notation column equals 'Tl-2212'.,1
How many 2010 estimations have been done in the city of Cremona?,0
What is the count of 2010 estimates for the city of Cremona from the table?,1
What's the 2001 census of the region of Abruzzo where the 1871 census is bigger than 51092.0?,0
What is the minimum 2001 Census value for Abruzzo region where the 1981 Census is greater than 51092.0?,1
What's the 1991 census of the city of Carpi?,0
What is the maximum value of the 1991 Census population for the city of Carpi from the table?,1
How many 2001 censuses are there on number 13?,0
What is the count from the 2001 Census where the condition # equals 13?,1
What's the 1981 census of Livorno?,0
What is the 1981 Census data for the city of Livorno?,1
Which NHL team has player Mike Loach?,0
What is the NHL team of the player named Mike Loach?,1
What is the NHL team that has Peter Strom?,0
What is the NHL team of the player named Peter Strom?,1
What team is Keith Mccambridge on?,0
What is the college/junior/club team of the player named Keith McCambridge?,1
How many nationalities are the pick 193?,0
How many players have a nationality listed in the table where the pick is 193?,1
"Who was the succesor that was formally installed on November 8, 1978?",0
"What is the successor who was installed on November 8, 1978?",1
How many songs received a 10 from Goodman and were rated by Tonioli?,0
How many times does the value 10 appear in the Goodman column of the table where the Tonioli column is counted?,1
"What score did Goodman give to all songs with safe results, which received a 7 from Horwood and have a total score of 31?",0
"Retrieve the value of Goodman from the table where Total is 31, Horwood is 7, and Result is Safe.",1
"What score did Dixon give to the song ""samba / young hearts run free"", which was in second place?",0
What is the value of Dixon from the table where Dance/song is Samba / Young Hearts Run Free and Result is Second place?,1
"How many scores did Goodman give to ""samba / young hearts run free"", which was in second place?",0
"How many times did ""Goodman"" occur in the table where the result is ""Second place"" and the dance/song is ""Samba / Young Hearts Run Free""?",1
What year was number 7 built?,0
"What is the ""Year Built"" for the item with ""No. Built"" equal to 7?",1
What is we two when the case/suffix is loc.?,0
Select the two columns from the table where the Case/Suffix equals loc.,1
What is them two (the two) when we two is ngalbelpa?,0
Select the two entries from the table where 'we two' equals 'ngalbelpa'.,1
What is them two (the two) when you and i is ngœbalngu?,0
"Select the two entries from the table where ""you and I"" equals ""ngœbalngu"".",1
What is who-two where you and i is ngœban?,0
Select the 'who-two' column from the table where 'you and I' equals 'ngœban'.,1
What is we two where you two is ngipen?,0
"Select the column named ""we two"" from the table where the column named ""you two"" equals ""ngipen"".",1
What is who-two when you two is ngipelngu?,0
Select the 'who-two' column from the table where 'you two' equals 'ngipelngu'.,1
what's the points with driver  mark martin,0
What is the points for Mark Martin from the table?,1
what's the points with driver  rusty wallace,0
What is the points for Rusty Wallace?,1
what's the total number of position with driver  robby gordon,0
How many positions did Robby Gordon have in the table?,1
"what's the maximum position with winnings  $50,000",0
"What is the maximum position where the winnings are exactly $50,000?",1
What actor was nominted for an award in the film Anastasiya Slutskaya?,0
"What is the name of the actor associated with the film ""Anastasiya Slutskaya""?",1
What was the film Falling up nominated for?,0
"What is the nomination for the film ""Falling Up""?",1
What is the name of the actress that was nominated for best actress in a leading role in the film Chopin: Desire for love?,0
"What is the name of the actor who won the nomination for Best Actress in a Leading Role for the film ""Chopin: Desire for Love""?",1
What is the name of the actress that was nominated for best actress in a leading role in the film Chopin: Desire for love?,0
"What is the name of the actor who won the nomination for Best Actress in a Leading Role for the film ""Chopin: Desire for Love""?",1
Which films does the actor Alla Sergiyko star in?,0
What is the name of the film where the actor is Alla Sergiyko?,1
Which nominations was the film 27 Stolen Kisses nominated for?,0
"What is the nomination for the film ""27 Stolen Kisses""?",1
Which actor from Serbia was nominated for best actor in a supporting role?,0
What is the name of the actor who won the nomination for Best Actor in a Supporting Role from Serbia?,1
Vsevolod Shilovskiy is from what country?,0
What is the country associated with the actor Vsevolod Shilovskiy?,1
Which nominations are connected to the film Totalitarian Romance?,0
"What is the nomination for the film ""Totalitarian Romance""?",1
Srdjan Dragojevic worked on a film which earned what nomination?,0
What is the nomination associated with the director Srdjan Dragojevic?,1
Which actors are from Ukraine?,0
What is the name of the actor from Ukraine?,1
What was the film that vadim ilyenko directed?,0
What is the name of the film directed by Vadim Ilyenko?,1
What was the actors name that vadim ilyenko directed?,0
What is the name of the actor(s) directed by Vadim Ilyenko?,1
What was the actors name for fuchzhou and nomination was best non-professional actor?,0
"What is the name of the actor who won the Best Non-Professional Actor nomination for the film ""Fuchzhou""?",1
What film did michaylo ilyenko make with best actor in a supporting role?,0
What is the name of the film directed by Michaylo Ilyenko that received a nomination for Best Actor in a Supporting Role?,1
What was the actor's name for best debut?,0
What is the name of the actor who received the Best Debut nomination?,1
What was the number of nominations for natalia raskokoha?,0
How many nominations does the actor Natalia Raskokoha have?,1
What is the highest value of Total Goals?,0
What is the maximum total goals from the table?,1
When FA Cup Apps is 9 what is the smallest number of FA Cup Goals?,0
What is the minimum number of FA Cup goals for players who have played 9 apps in the FA Cup?,1
What is the smallest number of Total Goals?,0
What is the minimum total goals from the table?,1
What circuit was the race where Hideki Mutoh had the fastest lap?,0
What is the circuit where the fastest lap was achieved by Hideki Mutoh?,1
"what is the minimum production code with title ""foreign exchange problem / turn about""",0
"What is the minimum production code for the title ""Foreign Exchange Problem / Turn About""?",1
"what is the episode # for title ""the yindianapolis 500 / personality problem""",0
"What is the episode number for the title ""The Yindianapolis 500 / Personality Problem""?",1
what is the episode # for production code 227,0
What is the episode number for the production code 227?,1
who directed the movie written by is sib ventress / aydrea ten bosch,0
What is the director of the movie where the writer is Sib Ventress or Aydrea ten Bosch?,1
"what is the production code with title ""skirting the issue / moon over my yinnie""",0
"What is the production code for the title ""Skirting the Issue / Moon Over my Yinnie""?",1
Whatis the number of total goals maximum?,0
What is the maximum total goals from the table?,1
HOW MANY TEMPERATURE INTERVALS ARE POSSIBLE TO USE WITH ACRYL? ,0
Count the number of temperature readings in degrees Celsius where the adhesive type is Acryl.,1
How many matches where played with Jim Pugh?,0
How many opponents are there in the table where the partner is Jim Pugh?,1
What is the score with partner Jim Pugh?,0
What is the score associated with the partner named Jim Pugh?,1
"How many matched scored 3–6, 7–6(5), 6–3?",0
"Count the number of entries in the table where the Score is 3–6, 7–6(5), or 6–3.",1
What is the score of the match with partner Jim Pugh?,0
What is the score associated with the partner named Jim Pugh?,1
What year was the championship in Wimbledon (2)?,0
What is the year of the championship called Wimbledon?,1
What is the score of the match with opponents Gretchen Magers Kelly Jones?,0
What is the score against Gretchen Magers Kelly Jones?,1
How many birthdays does Earl Hanley Beshlin have?,0
How many entries have a date of birth associated with the representative named Earl Hanley Beshlin?,1
"Which politican party has a birthday of November 10, 1880",0
"What is the party associated with the person who was born on November 10, 1880?",1
"Which representative has a birthday of January 31, 1866?",0
"What is the representative associated with the birth date of January 31, 1866?",1
What is the Singles W-L for the players named  Laurynas Grigelis?,0
What is the win-loss record (Singles W–L) of the player Laurynas Grigelis?,1
What is the Current singles ranking for the player named Mantas Bugailiškis?,0
What is the current singles ranking of Mantas Bugailiškis from the table?,1
How many playerd Mrs. Darling in the 1999 Broadway?,0
"How many times does the character ""Mrs. Darling"" appear on the 1999 Broadway stage?",1
Who played Peter Pan in the 1990 Broadway?,0
Select the value from the table where the Character is Peter Pan and the row is 1990 Broadway.,1
Who played in the 1991 Broadway before Barbara McCulloh played the part in the 1999 Broadway?,0
Retrieve the value of 1991 Broadway from the table where 1999 Broadway is equal to Barbara McCulloh.,1
Who played in the 1990 Broadway after Tom Halloran played the character in the 1955 Broadcast?,0
What is the value of 1990 Broadway from the table where 1955 broadcast is Tom Halloran?,1
What character did Drake English play in the 1998 Broadway?,0
What is the character associated with the entry where the 1998 Broadway is Drake English?,1
What date was BBC One total viewing greater then 11616996.338225884?,0
"What is the broadcast date where the BBC One total viewing exceeds 11,616,996.34?",1
How many years did BBC One rank 20th?,0
How many entries in the table have a BBC One Rank of 20th?,1
"What year was the BBC two total viewing 7,530,000?",0
"What is the minimum year where the BBC Two total viewing is 7,530,000?",1
 how many ↓ function / genus → with escherichia being espd,0
Count the number of entries in the table where the 'Escherichia' column is equal to 'EspD'.,1
what's the salmonella with escherichia being espd,0
Retrieve the entries where the value of Escherichia is EspD from the table and return the corresponding Salmonella values.,1
what's the ↓ function / genus → with shigella being spa32,0
Retrieve the function/genus from the table where Shigella is equal to Spa32.,1
what's the salmonella with shigella being ipgc,0
Retrieve the value of Salmonella from the table where Shigella is equal to IpgC.,1
what's the salmonella with escherichia being sepb (escn),0
Retrieve the entries where the value of Escherichia is SepB (EscN) from the table and return the corresponding Salmonella values.,1
what's the shigella with yersinia being yscp,0
Retrieve all entries from the table where the Yersinia column equals YscP and select the Shigella column.,1
How many original titles did Marriage Italian-Style have? ,0
"How many original titles are there in the table where the film title used in nomination is ""Marriage Italian-Style""?",1
What year was a movie with the original title La Leggenda del Santo Bevitore submitted?,0
"What is the year of the ceremony for the film ""La leggenda del santo bevitore""?",1
"what's the camp with estimated deaths of 600,000",0
"What is the name of the camp where the estimated deaths are 600,000?",1
what's the operational period with camp  sajmište,0
Retrieve the operational data from the table where the camp is Sajmište.,1
what's the estimated deaths with operational period of 17 march 1942 – end of june 1943,0
"What is the estimated number of deaths during the operational period from March 17, 1942, to the end of June 1943?",1
what's the current country of location with operational period  of summer of 1941 to 28 june 1944,0
What is the current country of location for entries where the operational period is from summer of 1941 to 28 June 1944?,1
"what's the occupied territory with estimated deaths of 600,000",0
"What is the occupied territory where the estimated deaths are 600,000?",1
what's the occupied territory with operational period of may 1940 – january 1945,0
What was the occupied territory during the period from May 1940 to January 1945?,1
Which overall pick was traded to the Cleveland Browns?,0
What is the overall value of the player who was traded to the Cleveland Browns?,1
Overall pick 240 was a pick in which round?,0
"Retrieve the value of the ""Round"" column from the table where the ""Overall"" column is equal to 240.",1
Which overall pick number went to college at Youngstown State?,0
What is the minimum value of the Overall column from the table where the College is Youngstown State?,1
What position is played by pick 255 overall?,0
Retrieve the position of the record where the overall value is 255.,1
Which player was chosen in round 17?,0
What is the player name in the round 17?,1
The record of 7-3 had the largest attendance of what?,0
What is the maximum attendance value for the record where Record is 7-3?,1
The record of 9-4 was against which opponent?,0
What is the opponent where the record is 9-4?,1
The game number of 8 had a record of what?,0
Retrieve all records where the Game column equals 8.,1
What round was Steve Stonebreaker drafted?,0
What is the maximum round for the player named Steve Stonebreaker?,1
Who was the top picki n the draft?,0
"What is the minimum value in the ""Choice"" column of the table?",1
What round was Bill Hill drafted?,0
Retrieve the choice associated with the player named Bill Hill from the table.,1
What was the name of the quarterback drafted?,0
Select the player names from the table where the position is Quarterback.,1
Where is the college where Keith Hartwig plays?,0
What is the college of the player named Keith Hartwig?,1
What is the name of the linebacker at Illinois college?,0
What is the name of the player who plays as a Linebacker and attended Illinois?,1
What is the greatest round of overall 83?,0
"What is the maximum value of the ""Round"" column from the table where the ""Overall"" column equals 83?",1
Which round did Tommy Kramer play in>,0
What is the round value for the player named Tommy Kramer?,1
What is Rice's collage score?,0
What is the overall value for Rice from the table?,1
Where does the defensive back position appear first?,0
"What is the minimum value of the ""Round"" column from the table where the ""Position"" is ""Defensive Back""?",1
What is Bruce Cerone overall?,0
What is the minimum value of the Overall column for the player named Bruce Cerone?,1
Which player went to Emporia State?,0
What is the player name from Emporia State?,1
What is the highest choice?,0
"What is the maximum value of the ""Choice"" column from the table?",1
What college did Bill Cappleman go to?,0
What is the college of the player named Bill Cappleman?,1
"For the headstamp id of h2, what was the color of the bullet tip?",0
What is the Bullet Tip Color associated with the Headstamp ID 'H2'?,1
"For the functional type of light ball, what were the other features?",0
"What are the ""Other Features"" where the ""Functional Type"" is ""Light Ball""?",1
How many primers annulus colors were there when the color of the bullet tip was white?,0
How many entries in the table have a Bullet Tip Color of White?,1
How many bullet tips colors had other features of a blue band on case base?,0
Count the number of bullet tips color where other features are blue band on case base.,1
How many touchdowns were scored in the year with a completion percentage of 56.0?,0
What is the minimum number of touchdowns from the table where the completion percentage is 56.0?,1
What number of completions are recorded for the year with 12 games started?,0
"Select the column ""Completions"" from the table where ""Games started"" equals 12.",1
How many years were there with 348 attempts?,0
How many yards were achieved when the attempts were 348?,1
How many characters is by Babs Rubenstein?,0
"How many times does ""London"" appear in the ""table"" where ""US Tour"" is equal to ""Babs Rubenstein""?",1
Which person is in the tronto/broadway and has a uk tour of n/a,0
"What is the value of ""Toronto / Broadway"" from the table where ""UK Tour"" is equal to ""n/a""?",1
How many people play Frank in London?,0
"Count the number of times ""London"" appears in the table where the Character is ""Frank"".",1
Who was Class AAA during the school year of 2000-01?,0
Select the Class AAA from the table where the School Year is 2000-01.,1
Who was Class AAA during the same year that Class A was (tie) Apple Springs/Texline?,0
What is the class AAA from the table where Class A is equal to Apple Springs/Texline?,1
Who was Class AAAAA during the school year of 1995-96?,0
Select all records from Class AAAAA where the School Year is 1995-96.,1
Who was Class AAA during the same year that Class AAAAA was Brownsville Pace?,0
What is the value of Class AAA from the table where Class AAAAA is Brownsville Pace?,1
What was the total number of Class AAA during the same year that Class AAA was White Oak?,0
"How many entries in the table have the value ""White Oak"" in the Class AAA column?",1
"How many records are listed on Friday, May 25?",0
"How many team records were there on Friday, May 25?",1
"How many opponents were played on Saturday, June 9?",0
"How many opponents were there on Saturday, June 9?",1
In what week was the first game played at the Commerzbank-Arena?,0
What is the minimum week number from the table where the game site is Commerzbank-Arena?,1
What was the original air date of an episode set in 1544?,0
What is the original air date of the show with the setting number 1544?,1
How many settings where there for episode 29 of the season?,0
How many times does the setting '29' appear in the 'No. in series' column of the table?,1
"Who wrote the episode that was set in winter 1541/february 13, 1542?",0
"What is the ""Written by"" entry from the table where the Setting is Winter on February 13, 1542?",1
"What episode number of the season was ""The Northern Uprising""?",0
"What is the ""No. in season"" for the title ""The Northern Uprising""?",1
What is the name of the track that lasts 5:30?,0
What is the title of the track that has a duration of 5:30?,1
What is the album namethat has the track title Sweetness 甜甜的 (tián tián de)?,0
"What is the name of the album that contains the track titled ""Sweetness 甜甜的 (Tián tián de)""?",1
What is the duration of the song where the major instrument is the piano and the date is 2004-02-03?,0
"What is the duration of the entry where the major instrument is Piano and the date is February 3, 2004?",1
What is the total number of lyricist where the lyrics theme is romance and the song lasts 3:50?,0
How many lyricists have a romance theme/style and a duration of 3:50 in the table?,1
What is the major instrument of the song that lasts 4:32? ,0
What is the major instrument(s) associated with a duration of 4:32?,1
What is the total number of music genre/style in which the lyrics are a detective story?,0
How many music genres/styles are there in the table where the lyrics theme/style is a detective story?,1
What is the playoffs for the usl pro select league?,0
Select the playoffs from the table where the league is USL Pro.,1
What is the number of the division for the 1st round?,0
How many divisions have an open cup status of 1st Round?,1
What was the team where series is formula renault 2.0 nec?,0
"What is the team associated with the series ""Formula Renault 2.0 NEC""?",1
What is the total number of poles for arden international?,0
How many Poles are there in the table where the Team is Arden International?,1
What is the number of wins for gp2 series for racing engineering?,0
Count the number of wins where the series is GP2 and the team is Racing Engineering.,1
What is the number of podiums for season 2010 for campionato italiano superstars.,0
How many Podiums were there in the 2010 Season for the Campionato Italiano Superstars series?,1
What is the podium for 144 points?,0
Retrieve the Podiums value from the table where Points equals 144.,1
"How many writers had an US air date of september 25, 1993?",0
"How many writers have a US air date of September 25, 1993?",1
